area_code,area_name,census_geography,long_term_health_all,limited_lots,limited_little,limited_none,limited_lots_perc,limited_little_perc,limited_none_perc,centroid_x,centroid_y
W01001895,Cardiff 010D,lsoa,1634,329,232,1073,20.1,14.2,65.7,314073.8891558276,180705.13773265426
W01001848,Cardiff 012B,lsoa,1447,135,145,1167,9.3,10.0,80.6,316282.2242649768,180968.9091454483
W01001769,Cardiff 018A,lsoa,1602,103,124,1375,6.4,7.7,85.8,317717.7562848745,180513.37820103212
W01001731,Cardiff 008B,lsoa,1446,98,130,1218,6.8,9.0,84.2,318638.2345261434,181084.84642271526
W01001736,Cardiff 008C,lsoa,1395,118,139,1138,8.5,10.0,81.6,319343.6434955176,181610.99103171675
W01001946,Cardiff 049C,lsoa,1339,145,124,1070,10.8,9.3,79.9,317923.7678766262,174071.87499002845
W01001767,Cardiff 044D,lsoa,1658,145,142,1371,8.7,8.6,82.7,317501.3183257516,175247.02123918198
W01001766,Cardiff 044C,lsoa,1663,167,150,1346,10.0,9.0,80.9,317493.494488932,175556.80659604576
W01001764,Cardiff 044A,lsoa,1993,176,133,1684,8.8,6.7,84.5,317582.16521547025,175608.81513239193
W01001855,Cardiff 042A,lsoa,1799,167,153,1479,9.3,8.5,82.2,317192.6824188151,176163.8731885365
W01001857,Cardiff 042C,lsoa,1856,279,238,1339,15.0,12.8,72.1,317086.3042044775,176298.3240899503
W01001856,Cardiff 042B,lsoa,1852,210,136,1506,11.3,7.3,81.3,317643.1085447294,176156.11702926556
W01001862,Cardiff 042D,lsoa,1733,144,116,1473,8.3,6.7,85.0,317497.8520257142,176378.67708085806
W01001721,Cardiff 032A,lsoa,2906,164,129,2613,5.6,4.4,89.9,317751.8346860609,177680.40022308216
W01001719,Cardiff 028B,lsoa,2064,88,112,1864,4.3,5.4,90.3,317707.5465713019,178062.46691481525
W01001939,Cardiff 032F,lsoa,1020,28,35,957,2.7,3.4,93.8,317959.04553788126,176992.19724434696
W01001755,Cardiff 025A,lsoa,1432,51,86,1295,3.6,6.0,90.4,317455.84062947636,178602.61523126415
W01001758,Cardiff 025D,lsoa,2056,84,106,1866,4.1,5.2,90.8,317672.3119235572,178795.10386031188
W01001771,Cardiff 018C,lsoa,1645,110,139,1396,6.7,8.4,84.9,317163.0500403451,180498.7621005363
W01001793,Cardiff 002A,lsoa,1427,67,71,1289,4.7,5.0,90.3,317204.3921053238,183268.24817401677
W01001657,Newport 020C,lsoa,1465,58,102,1305,4.0,7.0,89.1,324419.52194464067,183719.67563788543
W01001804,Cardiff 015B,lsoa,1566,209,158,1199,13.3,10.1,76.6,321906.340127758,181006.294551031
W01001881,Cardiff 013C,lsoa,1438,214,183,1041,14.9,12.7,72.4,323170.7502957466,181225.0387263099
W01001877,Cardiff 011A,lsoa,1710,145,152,1413,8.5,8.9,82.6,324244.8131614613,181793.53931799452
W01001850,Cardiff 012C,lsoa,1931,147,211,1573,7.6,10.9,81.5,316035.1582275457,181230.596810674
W01001853,Cardiff 004C,lsoa,1562,180,222,1160,11.5,14.2,74.3,316279.8461891827,181969.2150797473
W01001777,Cardiff 001A,lsoa,1496,95,150,1251,6.4,10.0,83.6,319337.92751694005,183640.3645755297
W01001791,Cardiff 005A,lsoa,1625,172,177,1276,10.6,10.9,78.5,318102.51964988816,181632.0540125292
W01001800,Cardiff 005D,lsoa,1565,245,179,1141,15.7,11.4,72.9,317162.57298363885,181986.40628148016
W01001807,Cardiff 007B,lsoa,1567,221,146,1200,14.1,9.3,76.6,322342.940489826,181575.02323656206
W01001817,Cardiff 009C,lsoa,1406,144,115,1147,10.2,8.2,81.6,320423.52828593267,181673.08619875583
W01001818,Cardiff 009D,lsoa,1528,89,122,1317,5.8,8.0,86.2,320043.4613611992,181145.3391710907
W01001866,Cardiff 016A,lsoa,1510,305,197,1008,20.2,13.0,66.8,322470.2455168427,180312.5949478231
W01001942,Cardiff 049B,lsoa,1355,187,115,1053,13.8,8.5,77.7,318680.23802730435,174353.2877318564
W01001699,Cardiff 049A,lsoa,2198,261,217,1720,11.9,9.9,78.3,318821.4680035169,175198.95932243238
W01001943,Cardiff 048B,lsoa,1098,27,46,1025,2.5,4.2,93.4,319367.61875445826,174252.94632396128
W01001695,Cardiff 036B,lsoa,3243,246,225,2772,7.6,6.9,85.5,319088.4934366188,176469.0504381284
W01001725,Cardiff 032D,lsoa,2214,47,51,2116,2.1,2.3,95.6,318393.52747568086,177462.91366299207
W01001696,Cardiff 036C,lsoa,1553,205,143,1205,13.2,9.2,77.6,319599.03227099474,176662.81589639283
W01001873,Cardiff 038C,lsoa,1699,178,182,1339,10.5,10.7,78.8,320240.0456751109,176302.31563340029
W01001940,Cardiff 048A,lsoa,1111,30,57,1024,2.7,5.1,92.2,320840.1159405423,170171.2741243602
W01001724,Cardiff 032C,lsoa,1984,40,68,1876,2.0,3.4,94.6,318454.44448994705,177698.31900120882
W01001834,Cardiff 033E,lsoa,1607,139,99,1369,8.6,6.2,85.2,319165.5683926723,177402.9527176996
W01001837,Cardiff 030C,lsoa,1524,94,80,1350,6.2,5.2,88.6,318613.9925419682,178056.5496738754
W01001838,Cardiff 030D,lsoa,1782,85,99,1598,4.8,5.6,89.7,318907.83098576986,178138.9926440862
W01001824,Cardiff 029C,lsoa,1566,106,128,1332,6.8,8.2,85.1,319543.0630475395,178067.64444148415
W01001836,Cardiff 030B,lsoa,1599,56,77,1466,3.5,4.8,91.7,318867.4661743203,178516.37575919623
W01001827,Cardiff 024C,lsoa,1610,117,159,1334,7.3,9.9,82.9,318975.825547368,178945.80566067444
W01001826,Cardiff 024B,lsoa,1353,111,156,1086,8.2,11.5,80.3,319785.431861158,179167.4779013404
W01001735,Cardiff 019D,lsoa,1624,161,148,1315,9.9,9.1,81.0,318905.6899211286,179482.71487842116
W01001734,Cardiff 019C,lsoa,1526,106,131,1289,6.9,8.6,84.5,318543.08697962447,179947.09941995243
W01001730,Cardiff 008A,lsoa,1489,104,150,1235,7.0,10.1,82.9,319460.37286219024,181247.3520239153
W01001821,Cardiff 024A,lsoa,1837,169,144,1524,9.2,7.8,83.0,319420.27402219706,178790.87696379024
W01001822,Cardiff 029A,lsoa,1647,148,162,1337,9.0,9.8,81.2,320244.45958699763,178597.5615082683
W01001830,Cardiff 033B,lsoa,1638,111,114,1413,6.8,7.0,86.3,319430.4999655485,177677.16418478233
W01001831,Cardiff 030A,lsoa,1565,76,93,1396,4.9,5.9,89.2,319096.2981668002,177854.14989938098
W01001833,Cardiff 033D,lsoa,1626,143,135,1348,8.8,8.3,82.9,319601.6653796944,177465.28581049727
W01001839,Cardiff 030E,lsoa,1609,75,108,1426,4.7,6.7,88.6,318790.03551185026,177964.00895640886
W01001950,Cardiff 049D,lsoa,1082,47,58,977,4.3,5.4,90.3,318674.791467382,174667.09503117754
W01001947,Cardiff 048E,lsoa,1504,26,80,1398,1.7,5.3,93.0,317400.404438332,173925.86397937877
W01001759,Cardiff 046A,lsoa,1588,136,150,1302,8.6,9.4,82.0,316891.40014007414,175003.18110787324
W01001713,Cardiff 040E,lsoa,1724,137,136,1451,7.9,7.9,84.2,316483.12672888965,176324.2291716176
W01001859,Cardiff 034B,lsoa,1421,104,104,1213,7.3,7.3,85.4,316547.742259611,177109.56821300284
W01001860,Cardiff 034C,lsoa,1707,105,144,1458,6.2,8.4,85.4,316790.3185768131,176928.03382810196
W01001861,Cardiff 034D,lsoa,1709,139,119,1451,8.1,7.0,84.9,317129.72179127263,176884.26572416365
