A,B,C,D,E
103903521|St Pauls Residential Home|05280373|316269.2|180531.2|1|100100034436|osgb5000005200045410|1|5801523|1|24.3|159|Pantbach Road|Cardiff|South Glamorgan|CF14 1TZ|Caerdydd - Cardiff|02920319818|||||Wilmington Healthcare Ltd|2024-12-01,,,,
103903522|Plas Newydd Care Home|05280373|316878|179340|1||osgb1000027131319|4|5803650|3|18.3|360-362|North Road|Cardiff|South Glamorgan|CF14 3BP|Caerdydd - Cardiff|02920529467|||||Wilmington Healthcare Ltd|2024-12-01,,,,
103903629|Avalon Care Home|05280373|317006|177246|1|100100077771|osgb1000027178629|9|5802686|1|16.5|Avalon 13|Kyveilog Street|Pontcanna, Cardiff|South Glamorgan|CF11 9JA|Caerdydd - Cardiff|02920237575|||||Wilmington Healthcare Ltd|2024-12-01,,,
103922608|School of Social Sciences|02100167|318044.1|176982|1|10008903917|osgb1000027218461|8|5801129|1|55.4|Bute and Glamorgan Buildings|King Edward Vii Avenue|Cathays, Cardiff|South Glamorgan|CF10 3AP|Caerdydd - Cardiff|02920875179|||||Wilmington Healthcare Ltd|2024-12-01,,,
103923919|Diabetes Research Group|02100167|317415.7|179311.3|1|10090718032|osgb1000027184059|8|5803802|1|200.6|School of Healthcare Studies|Heath Park Way|Heath, Cardiff|South Glamorgan|CF14 4XW|Caerdydd - Cardiff|02920745097|||||Wilmington Healthcare Ltd|2024-12-01,,,
103916115|Wound Healing Research Unit (WHRU)|02100167|317829|179234|1|10002529319|osgb1000027184032|3|5803803|1|49.4||Residential Road|Heath, Cardiff|South Glamorgan|CF14 4UJ|Caerdydd - Cardiff|02920747747|||||Wilmington Healthcare Ltd|2024-12-01,,,
103918147|WCPPE|02100167|317775|177335|1|100100890331|osgb1000027178571|4|5804596|1|26.8|8-10|North Road|Cathays, Cardiff|South Glamorgan|CF10 3DY|Caerdydd - Cardiff|02920874784|||||Wilmington Healthcare Ltd|2024-12-01,,,
103928354|School of Biosciences|02100167|318152|177267.3|1|10023544681|osgb1000027224062|10|5801538|1|57.2|Cardiff School of Bioscences Cardiff University|Park Place|Cathays, Cardiff|South Glamorgan|CF10 3AX|Caerdydd - Cardiff|02920874829|||||Wilmington Healthcare Ltd|2024-12-01,,,
103926414|South Wales Area Office|02100167|318810.5|175831.8|1|100101040965|osgb1000027216503|5|5803421|3|23.1|16|Columbus Walk|Butetown, Cardiff|South Glamorgan|CF10 4BY|Caerdydd - Cardiff|02920480593|||||Wilmington Healthcare Ltd|2024-12-01,,,
103927715|Wales Institute of Forensic Medicine|02100167|317416|179311|1|10090718032|osgb1000027184059|8|5803800|3|45.1|Heath Park||Cardiff|South Glamorgan|CF14 4XN|Caerdydd - Cardiff|02920744830|||||Wilmington Healthcare Ltd|2024-12-01,,,,
119170427|Institute of Psychological Med & Neurosciences|02100167|317940|177651.4|1|10090718190|osgb5000005111543977|2|5801314|1|54.4|Hadyn Ellis Building|Maindy Road|Cathays, Cardiff|South Glamorgan|CF24 4HQ|Caerdydd - Cardiff|02920688321|||||Wilmington Healthcare Ltd|2024-12-01,,,
103928185|Breast Cancer (Molecular Pharmacology) Group|02100167|317945.1|177061.1|1|10002528215|osgb1000027178379|43|5801129|1|88.3|Welsh School of Architecture|King Edward Vii Avenue|Cathays, Cardiff|South Glamorgan|CF10 3NB|Caerdydd - Cardiff|02920875226|||||Wilmington Healthcare Ltd|2024-12-01,,,
103928174|WCVA-Head Office|02100167|318940|174641|1|200001485157|osgb1000027214428|6|5801421|1|17.1|Baltic House|Mount Stuart Square|Butetown, Cardiff|South Glamorgan|CF10 5FH|Caerdydd - Cardiff|08002888329|||||Wilmington Healthcare Ltd|2024-12-01,,,
103917445|Institute of Infection & Immunity|02100167|317416|179487|1|10095458349|osgb1000002487232515|4|5803800|3|16.3|Henry Wellcome Building|Heath Park|Cardiff|South Glamorgan|CF14 4XN|Caerdydd - Cardiff|02920874000|||||Wilmington Healthcare Ltd|2024-12-01,,,,
123204386|Tenovus HQ|02100167|317087|181637|1|10002529383|osgb1000027188287|4|5802013|1|50.2|Government Buildings, Ty Glas Road|Llanishen|Cardiff|South Glamorgan|CF14|Caerdydd - Cardiff|02920768850|||||Wilmington Healthcare Ltd|2024-12-01,,,
